,state,1970,1980,1990,2000,2010,2020
0, Alabama,3444165,3893888,4040587,4447100,4779736,5024279
1, Alaska,300382,401851,550043,626932,710231,733391
2, American Samoa,27159,32297,46773,57291,55519,49710
3, Arizona,1770900,2718215,3665228,5130632,6392017,7151502
4, Arkansas,1923295,2286435,2350725,2673400,2915918,3011524
5, California,19953134,23667902,29760021,33871648,37253956,39538223
6, Colorado,2207259,2889964,3294394,4301261,5029196,5773714
7, Connecticut,3031709,3107576,3287116,3405565,3574097,3608298
8, Delaware,548104,594338,666168,783600,897934,989948
9, District of Columbia,756510,638333,606900,572059,601723,689545
10, Florida,6789443,9746324,12937926,15982378,18801310,21538187
11, Georgia,4589575,5463105,6478216,8186453,9687653,10711908
12, Guam,84966,105979,133152,154805,159358,153836
13, Hawaii,768561,964691,1108229,1211537,1360301,1455271
14, Idaho,712567,943935,1006749,1293953,1567582,1839106
15, Illinois,11113976,11426518,11430602,12419293,12830632,12812508
16, Indiana,5193669,5490224,5544159,6080485,6483802,6785528
17, Iowa,2824376,2913808,2776755,2926324,3046355,3190369
18, Kansas,2246578,2363679,2477574,2688418,2853118,2937880
19, Kentucky,3218706,3660777,3685296,4041769,4339367,4505836
20, Louisiana,3641306,4205900,4219973,4468976,4533372,4657757
21, Maine,992048,1124660,1227928,1274923,1328361,1362359
22, Maryland,3922399,4216975,4781468,5296486,5773552,6177224
23, Massachusetts,5689170,5737037,6016425,6349097,6547629,7029917
24, Michigan,8875083,9262078,9295297,9938444,9883640,10077331
25, Minnesota,3804971,4075970,4375099,4919479,5303925,5706494
26, Mississippi,2216912,2520638,2573216,2844658,2967297,2961279
27, Missouri,4676501,4916686,5117073,5595211,5988927,6154913
28, Montana,694409,786690,799065,902195,989415,1084225
29, Nebraska,1483493,1569825,1578385,1711263,1826341,1961504
30, Nevada,488738,800493,1201833,1998257,2700551,3104614
31, New Hampshire,737681,920610,1109252,1235786,1316470,1377529
32, New Jersey,7168164,7364823,7730188,8414350,8791894,9288994
33, New Mexico,1016000,1302894,1515069,1819046,2059179,2117522
34, New York,18236967,17558072,17990455,18976457,19378102,20201249
35, North Carolina,5082059,5881766,6628637,8049313,9535483,10439388
36, North Dakota,617761,652717,638800,642200,672591,779094
37, Northern Mariana Islands[ad],9460,16780,43345,69221,53883,47329
38, Ohio,10652017,10797630,10847115,11353140,11536504,11799448
39, Oklahoma,2559229,3025290,3145585,3450654,3751351,3959353
40, Oregon,2091385,2633105,2842321,3421399,3831074,4237256
41, Pennsylvania,11793909,11863895,11881643,12281054,12702379,13002700
42, Puerto Rico,2712033,3196520,3522037,3808610,3725789,3285874
43, Rhode Island,946725,947154,1003464,1048319,1052567,1097379
44, South Carolina,2590516,3121820,3486703,4012012,4625364,5118425
45, South Dakota,665507,690768,696004,754844,814180,886667
46, Tennessee,3923687,4591120,4877185,5689283,6346105,6910840
47, Texas,11196730,14229191,16986510,20851820,25145561,29145505
48, U.S. Virgin Islands,62468,96569,101809,108612,106405,87146
49, Utah,1059273,1461037,1722850,2233169,2763885,3271616
50, Vermont,444330,511456,562758,608827,625741,643077
51, Virginia,4648494,5346818,6187358,7078515,8001024,8631393
52, Washington,3409169,4132156,4866692,5894121,6724540,7705281
53, West Virginia,1744237,1949644,1793477,1808344,1852994,1793716
54, Wisconsin,4417731,4705767,4891769,5363675,5686986,5893718
55, Wyoming,332416,469557,453588,493782,563626,576851
