,state,1960,1970,1980,1990,2000,2010,2020
0," Alabama
","3,266,740
","3,444,165
","3,893,888
","4,040,587
","4,447,100
","4,779,736
","5,024,279
"
1," Alaska
","226,167
","300,382
","401,851
","550,043
","626,932
","710,231
","733,391
"
2," American Samoa
","20,051
","27,159
","32,297
","46,773
","57,291
","55,519
","49,710
"
3," Arizona
","1,302,161
","1,770,900
","2,718,215
","3,665,228
","5,130,632
","6,392,017
","7,151,502
"
4," Arkansas
","1,786,272
","1,923,295
","2,286,435
","2,350,725
","2,673,400
","2,915,918
","3,011,524
"
5," California
","15,717,204
","19,953,134
","23,667,902
","29,760,021
","33,871,648
","37,253,956
","39,538,223
"
6," Colorado
","1,753,947
","2,207,259
","2,889,964
","3,294,394
","4,301,261
","5,029,196
","5,773,714
"
7," Connecticut
","2,535,234
","3,031,709
","3,107,576
","3,287,116
","3,405,565
","3,574,097
","3,608,298
"
8," Delaware
","446,292
","548,104
","594,338
","666,168
","783,600
","897,934
","989,948
"
9," District of Columbia
","763,956
","756,510
","638,333
","606,900
","572,059
","601,723
","689,545
"
10," Florida
","4,951,560
","6,789,443
","9,746,324
","12,937,926
","15,982,378
","18,801,310
","21,538,187
"
11," Georgia
","3,943,116
","4,589,575
","5,463,105
","6,478,216
","8,186,453
","9,687,653
","10,711,908
"
12," Guam
","67,044
","84,966
","105,979
","133,152
","154,805
","159,358
","153,836
"
13," Hawaii
","632,772
","768,561
","964,691
","1,108,229
","1,211,537
","1,360,301
","1,455,271
"
14," Idaho
","667,191
","712,567
","943,935
","1,006,749
","1,293,953
","1,567,582
","1,839,106
"
15," Illinois
","10,081,158
","11,113,976
","11,426,518
","11,430,602
","12,419,293
","12,830,632
","12,812,508
"
16," Indiana
","4,662,498
","5,193,669
","5,490,224
","5,544,159
","6,080,485
","6,483,802
","6,785,528
"
17," Iowa
","2,757,537
","2,824,376
","2,913,808
","2,776,755
","2,926,324
","3,046,355
","3,190,369
"
18," Kansas
","2,178,611
","2,246,578
","2,363,679
","2,477,574
","2,688,418
","2,853,118
","2,937,880
"
19," Kentucky
","3,038,156
","3,218,706
","3,660,777
","3,685,296
","4,041,769
","4,339,367
","4,505,836
"
20," Louisiana
","3,257,022
","3,641,306
","4,205,900
","4,219,973
","4,468,976
","4,533,372
","4,657,757
"
21," Maine
","969,265
","992,048
","1,124,660
","1,227,928
","1,274,923
","1,328,361
","1,362,359
"
22," Maryland
","3,100,689
","3,922,399
","4,216,975
","4,781,468
","5,296,486
","5,773,552
","6,177,224
"
23," Massachusetts
","5,148,578
","5,689,170
","5,737,037
","6,016,425
","6,349,097
","6,547,629
","7,029,917
"
24," Michigan
","7,823,194
","8,875,083
","9,262,078
","9,295,297
","9,938,444
","9,883,640
","10,077,331
"
25," Minnesota
","3,413,864
","3,804,971
","4,075,970
","4,375,099
","4,919,479
","5,303,925
","5,706,494
"
26," Mississippi
","2,178,141
","2,216,912
","2,520,638
","2,573,216
","2,844,658
","2,967,297
","2,961,279
"
27," Missouri
","4,319,813
","4,676,501
","4,916,686
","5,117,073
","5,595,211
","5,988,927
","6,154,913
"
28," Montana
","674,767
","694,409
","786,690
","799,065
","902,195
","989,415
","1,084,225
"
29," Nebraska
","1,411,330
","1,483,493
","1,569,825
","1,578,385
","1,711,263
","1,826,341
","1,961,504
"
30," Nevada
","285,278
","488,738
","800,493
","1,201,833
","1,998,257
","2,700,551
","3,104,614
"
31," New Hampshire
","606,921
","737,681
","920,610
","1,109,252
","1,235,786
","1,316,470
","1,377,529
"
32," New Jersey
","6,066,782
","7,168,164
","7,364,823
","7,730,188
","8,414,350
","8,791,894
","9,288,994
"
33," New Mexico
","951,023
","1,016,000
","1,302,894
","1,515,069
","1,819,046
","2,059,179
","2,117,522
"
34," New York
","16,782,304
","18,236,967
","17,558,072
","17,990,455
","18,976,457
","19,378,102
","20,201,249
"
35," North Carolina
","4,556,155
","5,082,059
","5,881,766
","6,628,637
","8,049,313
","9,535,483
","10,439,388
"
36," North Dakota
","632,446
","617,761
","652,717
","638,800
","642,200
","672,591
","779,094
"
37," Northern Mariana Islands[ad]
","8,290[ae]
","9,460
","16,780
","43,345
","69,221
","53,883
","47,329
"
38," Ohio
","9,706,397
","10,652,017
","10,797,630
","10,847,115
","11,353,140
","11,536,504
","11,799,448
"
39," Oklahoma
","2,328,284
","2,559,229
","3,025,290
","3,145,585
","3,450,654
","3,751,351
","3,959,353
"
40," Oregon
","1,768,687
","2,091,385
","2,633,105
","2,842,321
","3,421,399
","3,831,074
","4,237,256
"
41," Pennsylvania
","11,319,366
","11,793,909
","11,863,895
","11,881,643
","12,281,054
","12,702,379
","13,002,700
"
42," Puerto Rico
","2,349,544
","2,712,033
","3,196,520
","3,522,037
","3,808,610
","3,725,789
","3,285,874
"
43," Rhode Island
","859,488
","946,725
","947,154
","1,003,464
","1,048,319
","1,052,567
","1,097,379
"
44," South Carolina
","2,382,594
","2,590,516
","3,121,820
","3,486,703
","4,012,012
","4,625,364
","5,118,425
"
45," South Dakota
","680,514
","665,507
","690,768
","696,004
","754,844
","814,180
","886,667
"
46," Tennessee
","3,567,089
","3,923,687
","4,591,120
","4,877,185
","5,689,283
","6,346,105
","6,910,840
"
47," Texas
","9,579,677
","11,196,730
","14,229,191
","16,986,510
","20,851,820
","25,145,561
","29,145,505
"
48," U.S. Virgin Islands
","32,099
","62,468
","96,569
","101,809
","108,612
","106,405
","87,146
"
49," Utah
","890,627
","1,059,273
","1,461,037
","1,722,850
","2,233,169
","2,763,885
","3,271,616
"
50," Vermont
","389,881
","444,330
","511,456
","562,758
","608,827
","625,741
","643,077
"
51," Virginia
","3,966,949
","4,648,494
","5,346,818
","6,187,358
","7,078,515
","8,001,024
","8,631,393
"
52," Washington
","2,853,214
","3,409,169
","4,132,156
","4,866,692
","5,894,121
","6,724,540
","7,705,281
"
53," West Virginia
","1,860,421
","1,744,237
","1,949,644
","1,793,477
","1,808,344
","1,852,994
","1,793,716
"
54," Wisconsin
","3,951,777
","4,417,731
","4,705,767
","4,891,769
","5,363,675
","5,686,986
","5,893,718
"
55," Wyoming
","330,066
","332,416
","469,557
","453,588
","493,782
","563,626
","576,851
"
56," United States
","179,323,175[af]
","203,211,926[ag]
","226,545,805[ah]
","248,709,873[ai]
","281,421,906[aj]
","308,745,538[aj]
","331,449,281[aj]
"
